	userid	otheruserid	dt	liked
350	637843	640489	2017-08-15T21:39:53.0000000	True
351	639058	457380	2017-08-15T21:39:53.0000000	True
352	639058	9018	2017-08-15T21:39:53.0000000	False
353	640896	532391	2017-08-15T21:39:52.0000000	False
354	640896	200233	2017-08-15T21:39:52.0000000	False
355	640896	535372	2017-08-15T21:39:52.0000000	True
356	636821	536945	2017-08-15T21:39:51.0000000	False
357	636821	308550	2017-08-15T21:39:51.0000000	False
358	636821	305960	2017-08-15T21:39:51.0000000	True
359	636821	100443	2017-08-15T21:39:51.0000000	False
360	636821	612590	2017-08-15T21:39:51.0000000	False
361	636821	367291	2017-08-15T21:39:51.0000000	False
362	636821	538850	2017-08-15T21:39:51.0000000	False
363	636821	387448	2017-08-15T21:39:51.0000000	False
364	636821	130339	2017-08-15T21:39:51.0000000	False
365	636821	518925	2017-08-15T21:39:51.0000000	False
366	629421	637331	2017-08-15T21:39:48.0000000	False
367	629421	635900	2017-08-15T21:39:48.0000000	False
368	629421	631605	2017-08-15T21:39:48.0000000	False
369	629421	609792	2017-08-15T21:39:48.0000000	False
370	629421	485602	2017-08-15T21:39:48.0000000	True
371	640896	540681	2017-08-15T21:39:48.0000000	True
372	640870	31703	2017-08-15T21:39:47.0000000	False
373	640870	625421	2017-08-15T21:39:47.0000000	True
374	640896	280254	2017-08-15T21:39:47.0000000	False
375	640896	453356	2017-08-15T21:39:47.0000000	False
376	640896	458257	2017-08-15T21:39:47.0000000	True
377	640896	421033	2017-08-15T21:39:47.0000000	False
378	639058	35706	2017-08-15T21:39:46.0000000	False
379	639058	442617	2017-08-15T21:39:46.0000000	False
380	640789	416077	2017-08-15T21:39:46.0000000	False
381	639058	81653	2017-08-15T21:39:46.0000000	True
382	640789	637240	2017-08-15T21:39:46.0000000	False
383	639058	25999	2017-08-15T21:39:46.0000000	False
384	640789	598621	2017-08-15T21:39:46.0000000	False
385	639058	556671	2017-08-15T21:39:46.0000000	False
386	640789	625909	2017-08-15T21:39:46.0000000	False
387	637843	633624	2017-08-15T21:39:46.0000000	True
388	640789	619454	2017-08-15T21:39:46.0000000	False
389	640789	304656	2017-08-15T21:39:46.0000000	False
390	640789	589382	2017-08-15T21:39:46.0000000	True
391	640789	637332	2017-08-15T21:39:46.0000000	False
392	639058	477432	2017-08-15T21:39:46.0000000	False
393	640789	636156	2017-08-15T21:39:46.0000000	False
394	640789	605100	2017-08-15T21:39:46.0000000	False
395	640789	580507	2017-08-15T21:39:46.0000000	False
396	639058	470540	2017-08-15T21:39:46.0000000	False
397	640894	492442	2017-08-15T21:39:45.0000000	True
398	576333	457264	2017-08-15T21:39:43.0000000	False
399	613023	358461	2017-08-15T21:39:43.0000000	False
400	613023	632887	2017-08-15T21:39:43.0000000	True
401	576333	419538	2017-08-15T21:39:43.0000000	True
402	629421	632511	2017-08-15T21:39:42.0000000	True
403	629421	446689	2017-08-15T21:39:41.0000000	True
404	637843	568320	2017-08-15T21:39:41.0000000	True
405	637843	629544	2017-08-15T21:39:40.0000000	True
406	637843	640763	2017-08-15T21:39:40.0000000	False
407	640713	609612	2017-08-15T21:39:40.0000000	False
408	640713	608127	2017-08-15T21:39:40.0000000	False
409	640713	602431	2017-08-15T21:39:40.0000000	False
410	640713	551393	2017-08-15T21:39:40.0000000	False
411	640713	233745	2017-08-15T21:39:40.0000000	False
412	640713	579142	2017-08-15T21:39:40.0000000	False
413	640713	631461	2017-08-15T21:39:40.0000000	True
414	640845	628479	2017-08-15T21:39:40.0000000	True
415	629421	626145	2017-08-15T21:39:39.0000000	False
416	629421	540157	2017-08-15T21:39:39.0000000	False
417	629421	631752	2017-08-15T21:39:39.0000000	True
418	437168	568717	2017-08-15T21:39:38.0000000	False
419	437168	424848	2017-08-15T21:39:38.0000000	True
420	640896	109888	2017-08-15T21:39:38.0000000	False
421	640896	197533	2017-08-15T21:39:38.0000000	False
422	640896	565302	2017-08-15T21:39:38.0000000	False
423	640896	566744	2017-08-15T21:39:38.0000000	False
424	640896	573741	2017-08-15T21:39:38.0000000	True
425	576333	127944	2017-08-15T21:39:36.0000000	True
426	576333	587797	2017-08-15T21:39:36.0000000	False
427	576333	448965	2017-08-15T21:39:36.0000000	False
428	576333	635976	2017-08-15T21:39:36.0000000	False
429	576333	113335	2017-08-15T21:39:36.0000000	False
430	576333	631181	2017-08-15T21:39:36.0000000	False
431	576333	50853	2017-08-15T21:39:36.0000000	False
432	576333	636169	2017-08-15T21:39:36.0000000	False
433	576333	612511	2017-08-15T21:39:36.0000000	False
434	576333	246567	2017-08-15T21:39:36.0000000	False
435	576333	569155	2017-08-15T21:39:36.0000000	False
436	576333	7305	2017-08-15T21:39:36.0000000	False
437	576333	41355	2017-08-15T21:39:36.0000000	False
438	640870	298223	2017-08-15T21:39:36.0000000	False
439	576333	619246	2017-08-15T21:39:36.0000000	False
440	640870	576759	2017-08-15T21:39:36.0000000	False
441	640870	145235	2017-08-15T21:39:36.0000000	False
442	640870	597984	2017-08-15T21:39:36.0000000	False
443	640870	90458	2017-08-15T21:39:36.0000000	True
444	640845	618757	2017-08-15T21:39:36.0000000	True
445	640704	422504	2017-08-15T21:39:35.0000000	False
446	640704	473106	2017-08-15T21:39:35.0000000	True
447	640704	10000	2017-08-15T21:39:35.0000000	False
448	640894	111331	2017-08-15T21:39:35.0000000	False
449	640704	88022	2017-08-15T21:39:35.0000000	False
450	640894	483810	2017-08-15T21:39:35.0000000	False
451	640704	211846	2017-08-15T21:39:35.0000000	False
